"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","PROKKA_11072017","PROKKA_11072017_DJ","PROKKA_11162017"
"group_3602","","hypothetical protein","2","2","1","5","4602","106","6","","662","662","662","vin_ca_02896","vin_dj_02892",""
"dmlR_13","","HTH-type transcriptional regulator DmlR","2","2","1","5","4601","106","5","","893","893","893","vin_ca_02897","vin_dj_02893",""
"higB-2_2","","Toxin HigB-2","2","2","1","5","4600","106","4","","359","359","359","vin_ca_02898","vin_dj_02894",""
"group_3605","","hypothetical protein","2","2","1","5","3894","179","1","","2117","2117","2117","vin_ca_02900","vin_dj_02896",""
"group_3606","","hypothetical protein","2","2","1","5","3893","179","4","","899","899","899","vin_ca_02901","vin_dj_02897",""
"group_3607","","hypothetical protein","2","2","1","5","3892","179","3","","290","290","290","vin_ca_02902","vin_dj_02898",""
"group_3608","","hypothetical protein","2","2","1","5","3891","179","2","","1310","1310","1310","vin_ca_02903","vin_dj_02899",""
"cpxA","","Sensor histidine kinase CpxA","2","2","1","5","4620","22","18","","1238","1238","1238","vin_ca_02908","vin_dj_02904",""
"cpxR_2","","Transcriptional regulatory protein CpxR","2","2","1","5","4619","22","17","","749","749","749","vin_ca_02909","vin_dj_02905",""
"group_3611","","hypothetical protein","2","2","1","5","4618","22","16","","170","170","170","vin_ca_02910","vin_dj_02906",""
"group_3612","","hypothetical protein","2","2","1","5","4617","22","15","","356","356","356","vin_ca_02911","vin_dj_02907",""
"ttdB","","L( )-tartrate dehydratase subunit beta","2","2","1","5","4615","22","13","","608","608","608","vin_ca_02913","vin_dj_02909",""
"ttdA","","L( )-tartrate dehydratase subunit alpha","2","2","1","5","4614","22","12","","899","899","899","vin_ca_02914","vin_dj_02910",""
"dctA_2","","Aerobic C4-dicarboxylate transport protein","2","2","1","5","4613","22","11","","1325","1325","1325","vin_ca_02915","vin_dj_02911",""
"dmlR_14","","HTH-type transcriptional regulator DmlR","2","2","1","5","4651","22","10","","926","926","926","vin_ca_02916","vin_dj_02912",""
"group_3617","","hypothetical protein","2","2","1","5","4652","22","9","","275","275","275","vin_ca_02917","vin_dj_02913",""
"pcaK_4","","4-hydroxybenzoate transporter PcaK","2","2","1","5","4653","22","8","","1340","1340","1340","vin_ca_02918","vin_dj_02914",""
"galA","","Gallate dioxygenase","2","2","1","5","4654","22","7","","1262","1262","1262","vin_ca_02919","vin_dj_02915",""
"gbpR_4","","HTH-type transcriptional regulator GbpR","2","2","1","5","4655","22","6","","1193","1193","1193","vin_ca_02920","vin_dj_02916",""
"galB","","4-oxalmesaconate hydratase","2","2","1","5","4656","22","5","","737","737","737","vin_ca_02921","vin_dj_02917",""
"galC","","4-carboxy-4-hydroxy-2-oxoadipic acid aldolase","2","2","1","5","4657","22","4","","716","716","716","vin_ca_02922","vin_dj_02918",""
"galD","","4-oxalomesaconate tautomerase","2","2","1","5","4658","22","3","","1082","1082","1082","vin_ca_02923","vin_dj_02919",""
"ssuA_12","","Putative aliphatic sulfonates-binding protein","2","2","1","5","4622","698","1","","971","971","971","vin_ca_02929","vin_dj_02925",""
"ssuA_13","","Putative aliphatic sulfonates-binding protein","2","2","1","5","4646","651","1","","974","974","974","vin_ca_02931","vin_dj_02927",""
"group_3626","","Limonene hydroxylase","2","2","1","5","4644","213","3","","2003","2003","2003","vin_ca_02934","vin_dj_02930",""
"iolX_2","","scyllo-inositol 2-dehydrogenase (NAD( ))","2","2","1","5","4643","213","2","","1007","1007","1007","vin_ca_02935","vin_dj_02931",""
"ygbM","","Putative hydroxypyruvate isomerase YgbM","2","2","1","5","4642","213","1","","788","788","788","vin_ca_02936","vin_dj_02932",""
"cpdA_2","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","2","2","1","5","4640","535","1","","1424","1424","1424","vin_ca_02938","vin_dj_02934",""
"metN","","Methionine import ATP-binding protein MetN","2","2","1","5","4630","553","1","","1157","1157","1157","vin_ca_02943","vin_dj_02939",""
"cas2","","CRISPR-associated endoribonuclease Cas2","2","2","1","5","4070","53","3","","287","287","287","vin_ca_02948","vin_dj_02944",""
"cas1","","CRISPR-associated endonuclease Cas1","2","2","1","5","4071","53","4","","1040","1040","1040","vin_ca_02949","vin_dj_02945",""
"group_3633","","hypothetical protein","2","2","1","5","4072","53","5","","614","614","614","vin_ca_02950","vin_dj_02946",""
"group_3634","","hypothetical protein","2","2","1","5","4073","53","6","","908","908","908","vin_ca_02951","vin_dj_02947",""
"group_3635","","hypothetical protein","2","2","1","5","4074","53","7","","1796","1796","1796","vin_ca_02952","vin_dj_02948",""
"cas5d","","CRISPR pre-crRNA endoribonuclease Cas5d","2","2","1","5","4075","53","8","","674","674","674","vin_ca_02953","vin_dj_02949",""
"group_3637","","hypothetical protein","2","2","1","5","4076","53","9","","2225","2225","2225","vin_ca_02954","vin_dj_02950",""
"hcaR_1","","Hca operon transcriptional activator HcaR","2","2","1","5","4077","53","10","","572","572","572","vin_ca_02955","vin_dj_02951",""
"zraR_3","","Transcriptional regulatory protein ZraR","2","2","1","5","4570","350","2","","929","929","929","vin_ca_02958","vin_dj_02954",""
"group_3640","","hypothetical protein","2","2","1","5","4571","350","1","","581","581","581","vin_ca_02959","vin_dj_02955",""
"group_3641","","hypothetical protein","2","2","1","5","4580","167","1","","632","632","632","vin_ca_02966","vin_dj_02962",""
"group_3642","","hypothetical protein","2","2","1","5","4581","167","2","","242","242","242","vin_ca_02967","vin_dj_02963",""
"group_3643","","hypothetical protein","2","2","1","5","4582","167","3","","320","320","320","vin_ca_02968","vin_dj_02964",""
"group_3644","","hypothetical protein","2","2","1","5","4583","167","4","","410","410","410","vin_ca_02969","vin_dj_02965",""
"alyA_3","","Alginate lyase","2","2","1","5","4585","114","1","","713","713","713","vin_ca_02971","vin_dj_02967",""
"group_3646","","hypothetical protein","2","2","1","5","4586","114","2","","428","428","428","vin_ca_02972","vin_dj_02968",""
"group_3647","","hypothetical protein","2","2","1","5","4587","114","3","","332","332","332","vin_ca_02973","vin_dj_02969",""
"gcvT_2","","Aminomethyltransferase","2","2","1","5","4588","114","6","","1097","1097","1097","vin_ca_02974","vin_dj_02970",""
"group_3649","","hypothetical protein","2","2","1","5","4589","114","5","","377","377","377","vin_ca_02975","vin_dj_02971",""
"group_3650","","hypothetical protein","2","2","1","5","4590","114","4","","245","245","245","vin_ca_02976","vin_dj_02972",""
"higA_2","","Antitoxin HigA","2","2","1","5","4592","119","2","","203","203","203","vin_ca_02978","vin_dj_02974",""
"group_3652","","hypothetical protein","2","2","1","5","4593","119","3","","131","131","131","vin_ca_02979","vin_dj_02975",""
"higB_2","","mRNA interferase HigB","2","2","1","5","4594","119","4","","266","266","266","vin_ca_02980","vin_dj_02976",""
"higA_3","","Antitoxin HigA","2","2","1","5","4595","119","5","","377","377","377","vin_ca_02981","vin_dj_02977",""
"group_3655","","hypothetical protein","2","2","1","5","4596","119","6","","305","305","305","vin_ca_02982","vin_dj_02978",""
"group_3656","","hypothetical protein","2","2","1","5","4597","119","1","","269","269","269","vin_ca_02983","vin_dj_02979",""
"group_3657","","hypothetical protein","2","2","1","5","3895","132","4","","1205","1205","1205","vin_ca_02986","vin_dj_02982",""
"group_3658","","hypothetical protein","2","2","1","5","3896","132","5","","443","443","443","vin_ca_02987","vin_dj_02983",""
"group_3659","","hypothetical protein","2","2","1","5","3897","132","3","","296","296","296","vin_ca_02988","vin_dj_02984",""
"group_3660","","hypothetical protein","2","2","1","5","3898","132","2","","704","704","704","vin_ca_02989","vin_dj_02985",""
"group_3661","","hypothetical protein","2","2","1","5","4056","389","1","","308","308","308","vin_ca_02993","vin_dj_02989",""
"group_3662","","hypothetical protein","2","2","1","5","3930","6","1","","323","323","323","vin_ca_02995","vin_dj_02991",""
"nifF_2","","Flavodoxin B","2","2","1","5","3928","6","3","","482","482","482","vin_ca_02998","vin_dj_02994",""
"group_3664","","hypothetical protein","2","2","1","5","3927","6","4","","371","371","371","vin_ca_02999","vin_dj_02995",""
"group_3665","","hypothetical protein","2","2","1","5","3926","6","5","","824","824","824","vin_ca_03000","vin_dj_02996",""
"group_3666","","hypothetical protein","2","2","1","5","3925","6","6","","206","206","206","vin_ca_03001","vin_dj_02997",""
"group_3667","","hypothetical protein","2","2","1","5","3924","6","7","","221","221","221","vin_ca_03003","vin_dj_02999",""
"C1-hpah","","p-hydroxyphenylacetate 3-hydroxylase, reductase component","2","2","1","5","3923","6","8","","941","941","941","vin_ca_03004","vin_dj_03000",""
"C2-hpah","","p-hydroxyphenylacetate 3-hydroxylase, oxygenase component","2","2","1","5","3922","6","9","","1169","1169","1169","vin_ca_03005","vin_dj_03001",""
"group_3670","","hypothetical protein","2","2","1","5","3921","6","10","","980","980","980","vin_ca_03006","vin_dj_03002",""
"slyA_3","","Transcriptional regulator SlyA","2","2","1","5","3920","6","11","","278","278","278","vin_ca_03007","vin_dj_03003",""
"davD_1","","Glutarate-semialdehyde dehydrogenase DavD","2","2","1","5","3919","6","12","","1454","1454","1454","vin_ca_03008","vin_dj_03004",""
"hpcH_2","","4-hydroxy-2-oxo-heptane-1,7-dioate aldolase","2","2","1","5","3918","6","13","","350","350","350","vin_ca_03009","vin_dj_03005",""
"alkJ","","Alcohol dehydrogenase [acceptor]","2","2","1","5","3917","6","14","","929","929","929","vin_ca_03010","vin_dj_03006",""
"exuT_1","","Hexuronate transporter","2","2","1","5","3916","6","15","","1247","1247","1247","vin_ca_03011","vin_dj_03007",""
"group_3676","","hypothetical protein","2","2","1","5","3915","6","16","","875","875","875","vin_ca_03012","vin_dj_03008",""
"group_3677","","hypothetical protein","2","2","1","5","3914","6","17","","302","302","302","vin_ca_03013","vin_dj_03009",""
"limB","","Limonene 1,2-monooxygenase","2","2","1","5","3913","6","18","","464","464","464","vin_ca_03014","vin_dj_03010",""
"group_3679","","hypothetical protein","2","2","1","5","3912","6","19","","548","548","548","vin_ca_03015","vin_dj_03011",""
"group_3680","","hypothetical protein","2","2","1","5","3909","6","47","","1100","1100","1100","vin_ca_03018","vin_dj_03014",""
"group_3681","","hypothetical protein","2","2","1","5","3908","6","46","","1115","1115","1115","vin_ca_03019","vin_dj_03015",""
"group_3682","","hypothetical protein","2","2","1","5","3907","6","45","","770","770","770","vin_ca_03020","vin_dj_03016",""
"bcr_2","","Bicyclomycin resistance protein","2","2","1","5","3906","6","44","","1280","1280","1280","vin_ca_03021","vin_dj_03017",""
"adhc1","","NADP-dependent alcohol dehydrogenase C 1","2","2","1","5","3905","6","43","","1055","1055","1055","vin_ca_03022","vin_dj_03018",""
"group_3685","","hypothetical protein","2","2","1","5","3904","6","42","","371","371","371","vin_ca_03023","vin_dj_03019",""
"group_3686","","hypothetical protein","2","2","1","5","3903","6","41","","536","536","536","vin_ca_03024","vin_dj_03020",""
"group_3687","","hypothetical protein","2","2","1","5","3902","6","40","","395","395","395","vin_ca_03025","vin_dj_03021",""
"group_3688","","hypothetical protein","2","2","1","5","3901","6","39","","395","395","395","vin_ca_03026","vin_dj_03022",""
"fabG_7","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","5","3900","6","38","","743","743","743","vin_ca_03027","vin_dj_03023",""
"rhaS_2","","HTH-type transcriptional activator RhaS","2","2","1","5","3931","6","37","","944","944","944","vin_ca_03028","vin_dj_03024",""
"pgrR_5","","HTH-type transcriptional regulator PgrR","2","2","1","5","3932","6","36","","893","893","893","vin_ca_03029","vin_dj_03025",""
"pgrR_6","","HTH-type transcriptional regulator PgrR","2","2","1","5","3933","6","35","","902","902","902","vin_ca_03030","vin_dj_03026",""
"yhdN_4","","General stress protein 69","2","2","1","5","3934","6","34","","989","989","989","vin_ca_03031","vin_dj_03027",""
"group_3694","","hypothetical protein","2","2","1","5","3935","6","33","","557","557","557","vin_ca_03032","vin_dj_03028",""
"group_3695","","putative oxidoreductase","2","2","1","5","3936","6","32","","836","836","836","vin_ca_03033","vin_dj_03029",""
"yhdN_5","","General stress protein 69","2","2","1","5","3937","6","31","","992","992","992","vin_ca_03034","vin_dj_03030",""
"group_3697","","hypothetical protein","2","2","1","5","3938","6","30","","194","194","194","vin_ca_03035","vin_dj_03031",""
"yhdN_6","","General stress protein 69","2","2","1","5","3939","6","29","","1247","1247","1247","vin_ca_03036","vin_dj_03032",""
"group_3699","","hypothetical protein","2","2","1","5","3940","6","28","","494","494","494","vin_ca_03037","vin_dj_03033",""
"group_37","","hypothetical protein","2","2","1","5","6942","19","29","","1202","1202","1202","vin_ca_02384","vin_dj_02382",""
"group_3700","","hypothetical protein","2","2","1","5","3941","6","27","","149","149","149","vin_ca_03038","vin_dj_03034",""
"group_3701","","hypothetical protein","2","2","1","5","3942","6","26","","374","374","374","vin_ca_03039","vin_dj_03035",""
"group_3702","","hypothetical protein","2","2","1","5","3943","6","25","","500","500","500","vin_ca_03040","vin_dj_03036",""
"group_3703","","hypothetical protein","2","2","1","5","3944","6","24","","200","200","200","vin_ca_03041","vin_dj_03037",""
"ttuB_3","","Putative tartrate transporter","2","2","1","5","3945","6","23","","398","398","398","vin_ca_03042","vin_dj_03038",""
"group_3705","","hypothetical protein","2","2","1","5","3946","6","22","","1040","1040","1040","vin_ca_03043","vin_dj_03039",""
"dusA","","tRNA-dihydrouridine(20/20a) synthase","2","2","1","5","3947","6","21","","1010","1010","1010","vin_ca_03044","vin_dj_03040",""
"talB_3","","Transaldolase B","2","2","1","5","3948","6","20","","926","926","926","vin_ca_03045","vin_dj_03041",""
"mlaA_2","","putative phospholipid-binding lipoprotein MlaA","2","2","1","5","4043","335","1","","704","704","704","vin_ca_03048","vin_dj_03044",""
"group_3709","","hypothetical protein","2","2","1","5","4042","335","2","","263","263","263","vin_ca_03049","vin_dj_03045",""
"ybaN","","Inner membrane protein YbaN","2","2","1","5","4032","336","2","","404","404","404","vin_ca_03057","vin_dj_03053",""
"group_3711","","hypothetical protein","2","2","1","5","4031","336","1","","641","641","641","vin_ca_03058","vin_dj_03054",""
"group_3712","","hypothetical protein","2","2","1","5","3954","434","1","","446","446","446","vin_ca_03064","vin_dj_03060",""
"group_3713","","hypothetical protein","2","2","1","5","4023","388","2","","869","869","869","vin_ca_03066","vin_dj_03062",""
"group_3714","","hypothetical protein","2","2","1","5","4022","388","1","","1241","1241","1241","vin_ca_03067","vin_dj_03063",""
"ycgL","","Protein YcgL","2","2","1","5","4016","621","1","","293","293","293","vin_ca_03070","vin_dj_03066",""
"sseB","","Putative thiosulfate sulfurtransferase SseB","2","2","1","5","4012","85","1","","854","854","854","vin_ca_03072","vin_dj_03068",""
"group_3717","","hypothetical protein","2","2","1","5","4011","85","2","","572","572","572","vin_ca_03073","vin_dj_03069",""
"group_3718","","hypothetical protein","2","2","1","5","4010","85","3","","479","479","479","vin_ca_03074","vin_dj_03070",""
"yhjQ_2","","putative cysteine-rich protein YhjQ","2","2","1","5","4009","85","4","","323","323","323","vin_ca_03075","vin_dj_03071",""
"cobV","","Adenosylcobinamide-GDP ribazoletransferase","2","2","1","5","4008","85","7","","755","755","755","vin_ca_03076","vin_dj_03072",""
"cobC","","Adenosylcobalamin/alpha-ribazole phosphatase","2","2","1","5","4007","85","6","","569","569","569","vin_ca_03077","vin_dj_03073",""
"cobT","","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","2","2","1","5","4006","85","5","","1058","1058","1058","vin_ca_03078","vin_dj_03074",""
"cobQ","","Cobyric acid synthase","2","2","1","5","3996","387","1","","1457","1457","1457","vin_ca_03080","vin_dj_03076",""
"hisC_3","","Histidinol-phosphate aminotransferase","2","2","1","5","3995","387","2","","1061","1061","1061","vin_ca_03081","vin_dj_03077",""
"cobB_2","","NAD-dependent protein deacylase","2","2","1","5","3974","94","3","","731","731","731","vin_ca_03088","vin_dj_03082",""
"group_3727","","hypothetical protein","2","2","1","5","3975","94","4","","707","707","707","vin_ca_03089","vin_dj_03083",""
"mepH_1","","Murein DD-endopeptidase MepH","2","2","1","5","3976","94","8","","521","521","521","vin_ca_03090","vin_dj_03084",""
"mepH_2","","Murein DD-endopeptidase MepH","2","2","1","5","3977","94","7","","617","617","617","vin_ca_03091","vin_dj_03085",""
"cobB_3","","NAD-dependent protein deacetylase","2","2","1","5","3978","94","6","","764","764","764","vin_ca_03092","vin_dj_03086",""
"group_3731","","hypothetical protein","2","2","1","5","3979","94","5","","671","671","671","vin_ca_03093","vin_dj_03087",""
"entD","","Enterobactin synthase component D","2","2","1","5","3958","593","1","","710","710","710","vin_ca_03101","vin_dj_03095",""
"group_3733","","hypothetical protein","2","2","1","5","3963","171","3","","719","719","719","vin_ca_03104","vin_dj_03098",""
"group_3735","","hypothetical protein","2","2","1","5","2215","71","6","","224","224","224","vin_ca_03113","vin_dj_03106",""
"mopA_2","","Molybdenum-pterin-binding protein MopA","2","2","1","5","2217","71","8","","812","812","812","vin_ca_03115","vin_dj_03108",""
"vnfA_3","","Nitrogen fixation protein VnfA","2","2","1","5","2218","71","9","","1481","1481","1481","vin_ca_03116","vin_dj_03109",""
"group_3738","","hypothetical protein","2","2","1","5","2219","71","4","","557","557","557","vin_ca_03117","vin_dj_03110",""
"group_3739","","hypothetical protein","2","2","1","5","2220","71","3","","623","623","623","vin_ca_03118","vin_dj_03111",""
"alx_2","","Inner membrane protein alx","2","2","1","5","2221","71","2","","974","974","974","vin_ca_03119","vin_dj_03112",""
"group_3741","","hypothetical protein","2","2","1","5","2222","71","1","","1289","1289","1289","vin_ca_03120","vin_dj_03113",""
"algE5_2","","Poly(beta-D-mannuronate) C5 epimerase 5","2","2","1","5","2344","9","1","","1022","1022","1022","vin_ca_03123","vin_dj_03116",""
"group_3743","","hypothetical protein","2","2","1","5","2349","9","6","","470","470","470","vin_ca_03128","vin_dj_03121",""
"group_3744","","hypothetical protein","2","2","1","5","2350","9","7","","320","320","320","vin_ca_03129","vin_dj_03122",""
"group_3745","","hypothetical protein","2","2","1","5","2351","9","8","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","698","698","698","vin_ca_03130","vin_dj_03123",""
"lamB_6","","Maltoporin","2","2","1","5","2352","9","9","","1223","1223","1223","vin_ca_03131","vin_dj_03124",""
"group_3747","","Gluconate 2-dehydrogenase cytochrome c subunit","2","2","1","5","2353","9","10","","1304","1304","1304","vin_ca_03132","vin_dj_03125",""
"group_3748","","Gluconate 2-dehydrogenase flavoprotein","2","2","1","5","2354","9","11","","1769","1769","1769","vin_ca_03133","vin_dj_03126",""
"group_3749","","Gluconate 2-dehydrogenase subunit 3","2","2","1","5","2355","9","12","","728","728","728","vin_ca_03134","vin_dj_03127",""
"rbsR","","Ribose operon repressor","2","2","1","5","2356","9","13","","962","962","962","vin_ca_03135","vin_dj_03128",""
"iolI","","Inosose isomerase","2","2","1","5","2357","9","14","","824","824","824","vin_ca_03136","vin_dj_03129",""
"xylE_4","","D-xylose-proton symporter","2","2","1","5","2358","9","15","","1442","1442","1442","vin_ca_03137","vin_dj_03130",""
"group_3753","","hypothetical protein","2","2","1","5","2359","9","16","","941","941","941","vin_ca_03138","vin_dj_03131",""
"group_3754","","hypothetical protein","2","2","1","5","2361","9","18","","695","695","695","vin_ca_03140","vin_dj_03133",""
"group_3755","","hypothetical protein","2","2","1","5","2362","9","19","","488","488","488","vin_ca_03141","vin_dj_03134",""
"group_3756","","hypothetical protein","2","2","1","5","2364","9","21","","1226","1226","1226","vin_ca_03143","vin_dj_03136",""
"atoE","","Putative short-chain fatty acid transporter","2","2","1","5","2365","9","22","","1439","1439","1439","vin_ca_03144","vin_dj_03137",""
"hbd_2","","3-hydroxybutyryl-CoA dehydrogenase","2","2","1","5","2366","9","23","","923","923","923","vin_ca_03145","vin_dj_03138",""
"group_3759","","hypothetical protein","2","2","1","5","2367","9","24","","800","800","800","vin_ca_03146","vin_dj_03139",""
"phoA","","Alkaline phosphatase","2","2","1","5","2368","9","25","","1646","1646","1646","vin_ca_03147","vin_dj_03140",""
"ppsC_1","","Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC","2","2","1","5","2369","9","26","","1022","1022","1022","vin_ca_03148","vin_dj_03141",""
"nodD2","","Nodulation protein D 2","2","2","1","5","2370","9","27","","944","944","944","vin_ca_03149","vin_dj_03142",""
"bepF","","Efflux pump periplasmic linker BepF","2","2","1","5","2371","9","28","","1238","1238","1238","vin_ca_03150","vin_dj_03143",""
"bepE_1","","Efflux pump membrane transporter BepE","2","2","1","5","2372","9","42","","3173","3173","3173","vin_ca_03151","vin_dj_03144",""
"group_3765","","hypothetical protein","2","2","1","5","2373","9","41","","593","593","593","vin_ca_03152","vin_dj_03145",""
"glxR_3","","2-hydroxy-3-oxopropionate reductase","2","2","1","5","2374","9","40","","938","938","938","vin_ca_03153","vin_dj_03146",""
"fdh","","D-threo-aldose 1-dehydrogenase","2","2","1","5","2375","9","39","","1136","1136","1136","vin_ca_03154","vin_dj_03147",""
"ycnE","","Putative monooxygenase YcnE","2","2","1","5","2376","9","38","","296","296","296","vin_ca_03155","vin_dj_03148",""
"gntR_5","","HTH-type transcriptional regulator GntR","2","2","1","5","2377","9","37","","1214","1214","1214","vin_ca_03156","vin_dj_03149",""
"rebM_1","","Demethylrebeccamycin-D-glucose O-methyltransferase","2","2","1","5","2378","9","36","","824","824","824","vin_ca_03157","vin_dj_03150",""
"yydH","","Putative peptide zinc metalloprotease protein YydH","2","2","1","5","2379","9","35","","1241","1241","1241","vin_ca_03158","vin_dj_03151",""
"styA","","Styrene monooxygenase StyA","2","2","1","5","2380","9","34","","1217","1217","1217","vin_ca_03159","vin_dj_03152",""
"group_3773","","hypothetical protein","2","2","1","5","2381","9","33","","1016","1016","1016","vin_ca_03160","vin_dj_03153",""
"group_3774","","hypothetical protein","2","2","1","5","2382","9","32","","149","149","149","vin_ca_03161","vin_dj_03154",""
"group_3775","","hypothetical protein","2","2","1","5","2383","9","31","","146","146","146","vin_ca_03162","vin_dj_03155",""
"oprD_1","","Porin D","2","2","1","5","2384","9","30","","1295","1295","1295","vin_ca_03163","vin_dj_03156",""
"glpG","","Rhomboid protease GlpG","2","2","1","5","2385","9","29","","866","866","866","vin_ca_03164","vin_dj_03157",""
"group_3778","","hypothetical protein","2","2","1","5","2386","187","1","","989","989","989","vin_ca_03167","vin_dj_03160",""
"group_3779","","hypothetical protein","2","2","1","5","2387","187","2","","644","644","644","vin_ca_03168","vin_dj_03161",""
"group_3780","","hypothetical protein","2","2","1","5","2388","187","3","","452","452","452","vin_ca_03169","vin_dj_03162",""
"group_3781","","hypothetical protein","2","2","1","5","2389","187","4","","959","959","959","vin_ca_03170","vin_dj_03163",""
"dedD","","Cell division protein DedD","2","2","1","5","2427","334","1","","650","650","650","vin_ca_03177","vin_dj_03170",""
"folC","","Dihydrofolate synthase/folylpolyglutamate synthase","2","2","1","5","2426","334","2","","1301","1301","1301","vin_ca_03178","vin_dj_03171",""
"trpF","","N-(5'-phosphoribosyl)anthranilate isomerase","2","2","1","5","2424","606","1","","566","566","566","vin_ca_03180","vin_dj_03173",""
"group_3785","","hypothetical protein","2","2","1","5","2422","339","1","","2840","2840","2840","vin_ca_03182","vin_dj_03175",""
"usg","","USG-1 protein ","2","2","1","5","2421","339","2","","1010","1010","1010","vin_ca_03183","vin_dj_03176",""
"ibpB","","Small heat shock protein IbpB","2","2","1","5","2413","247","3","","443","443","443","vin_ca_03189","vin_dj_03182",""
"group_3788","","hypothetical protein","2","2","1","5","2412","247","2","","146","146","146","vin_ca_03190","vin_dj_03183",""
"dusC","","tRNA-dihydrouridine(16) synthase","2","2","1","5","2411","247","1","","980","980","980","vin_ca_03191","vin_dj_03184",""
"cycA_2","","Cytochrome c'","2","2","1","5","6422","315","1","","443","500","471","vin_ca_00336","vin_dj_00336",""
"group_3790","","hypothetical protein","2","2","1","5","2406","662","1","","347","347","347","vin_ca_03194","vin_dj_03187",""
"ntrC_1","","Nitrogen assimilation regulatory protein","2","2","1","5","2395","210","3","","1505","1505","1505","vin_ca_03197","vin_dj_03190",""
"group_3792","","hypothetical protein","2","2","1","5","2394","210","2","","614","614","614","vin_ca_03198","vin_dj_03191",""
"ipuC","","Glutamate--isopropylamine ligase","2","2","1","5","2400","210","1","","1340","1340","1340","vin_ca_03199","vin_dj_03192",""
"group_3794","","hypothetical protein","2","2","1","5","2398","652","1","","506","506","506","vin_ca_03203","vin_dj_03196",""
"group_3795","","hypothetical protein","2","2","1","5","7425","689","1","","278","278","278","vin_ca_03210","vin_dj_03203",""
"cdhR","","HTH-type transcriptional regulator CdhR","2","2","1","5","7432","509","1","","974","974","974","vin_ca_03214","vin_dj_03207",""
"ackA_1","","Acetate kinase","2","2","1","5","7423","483","1","","1187","1187","1187","vin_ca_03217","vin_dj_03210",""
"group_3798","","hypothetical protein","2","2","1","5","7438","133","1","","806","806","806","vin_ca_03219","vin_dj_03212",""
"group_3799","","hypothetical protein","2","2","1","5","7439","133","2","","608","608","608","vin_ca_03220","vin_dj_03213",""
"group_3800","","hypothetical protein","2","2","1","5","7440","133","3","","791","791","791","vin_ca_03221","vin_dj_03214",""
"group_3801","","hypothetical protein","2","2","1","5","7441","133","4","","296","296","296","vin_ca_03222","vin_dj_03215",""
"group_3802","","hypothetical protein","2","2","1","5","7442","133","5","","296","296","296","vin_ca_03223","vin_dj_03216",""
"group_3803","","Putative pterin-4-alpha-carbinolamine dehydratase","2","2","1","5","7444","625","1","","356","356","356","vin_ca_03225","vin_dj_03218",""
"arfB","","Peptidyl-tRNA hydrolase ArfB","2","2","1","5","7489","49","6","","413","413","413","vin_ca_03228","vin_dj_03221",""
"group_3805","","hypothetical protein","2","2","1","5","7488","49","7","","1016","1016","1016","vin_ca_03229","vin_dj_03222",""
"group_3806","","hypothetical protein","2","2","1","5","7487","49","8","","611","611","611","vin_ca_03230","vin_dj_03223",""
"group_3807","","hypothetical protein","2","2","1","5","7486","49","9","","347","347","347","vin_ca_03231","vin_dj_03224",""
"group_3808","","hypothetical protein","2","2","1","5","7485","49","10","","1127","1127","1127","vin_ca_03232","vin_dj_03225",""
"lly_1","","4-hydroxyphenylpyruvate dioxygenase","2","2","1","5","7484","49","11","","1079","1079","1079","vin_ca_03233","vin_dj_03226",""
"group_3810","","hypothetical protein","2","2","1","5","7483","49","5","","344","344","344","vin_ca_03234","vin_dj_03227",""
"group_3811","","hypothetical protein","2","2","1","5","7482","49","4","","497","497","497","vin_ca_03235","vin_dj_03228",""
"group_3812","","hypothetical protein","2","2","1","5","7481","49","3","","617","617","617","vin_ca_03236","vin_dj_03229",""
"group_3813","","hypothetical protein","2","2","1","5","7480","49","2","","218","218","218","vin_ca_03237","vin_dj_03230",""
"pvaB","","Oxidized polyvinyl alcohol hydrolase","2","2","1","5","7479","49","1","","1505","1505","1505","vin_ca_03238","vin_dj_03231",""
"bolA","","DNA-binding transcriptional regulator BolA","2","2","1","5","7476","281","1","","308","308","308","vin_ca_03241","vin_dj_03234",""
"group_3816","","hypothetical protein","2","2","1","5","7475","281","2","","500","500","500","vin_ca_03242","vin_dj_03235",""
"group_3817","","hypothetical protein","2","2","1","5","7473","131","4","","917","917","917","vin_ca_03244","vin_dj_03237",""
"fadL","","Long-chain fatty acid transport protein","2","2","1","5","7472","131","5","","1034","1034","1034","vin_ca_03245","vin_dj_03238",""
"tmk_3","","Thymidylate kinase","2","2","1","5","7471","131","3","","1484","1484","1484","vin_ca_03246","vin_dj_03239",""
"ylaB","","Putative cyclic-di-GMP phosphodiesterase YlaB","2","2","1","5","7470","131","2","","758","758","758","vin_ca_03247","vin_dj_03240",""
